Index,Name,Emergency,FullZB,MB_UPC_33kHzZB,MB_UPC_22kHzZB,MB_UPC_11kHzZB,MB_UPC_1kHzZB,MB_33kHzZB,MB_22kHzZB,MB_11kHzZB,MB_1kHzZB,Random_10kHzZB,MB_UPC
232,L1_DoubleMuOpen_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
233,L1_DoubleMuOpen_OS_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
234,L1_DoubleMuOpen_SS_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
235,L1_DoubleMu0_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
236,L1_DoubleMu10_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
238,L1_DoubleMuOpen_MaxDr3p5M0to7_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
239,L1_DoubleMu0_MaxDr3p5M0to7_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
240,L1_DoubleMuSQ_MaxDr3p5M0to7_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
241,L1_DoubleMuOpen_MaxDr3p5_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
242,L1_DoubleMu0_MaxDr3p5_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
243,L1_DoubleMuSQ_MaxDr3p5_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
246,L1_DoubleMu0_NotMinimumBiasHF2_AND_BptxAND,0,0,1,1,1,1,0,0,0,0,0,1
247,L1_DoubleMuOpen_Centrality_30_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
248,L1_DoubleMuOpen_Centrality_40_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
249,L1_DoubleMuOpen_Centrality_50_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
259,L1_SingleJet8_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
260,L1_SingleJet16_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
261,L1_SingleJet24_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
262,L1_SingleJet28_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
263,L1_SingleJet32_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
264,L1_SingleJet36_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
265,L1_SingleJet40_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
266,L1_SingleJet44_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
267,L1_SingleJet48_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
268,L1_SingleJet56_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
269,L1_SingleJet60_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
270,L1_SingleJet64_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
271,L1_SingleJet72_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
272,L1_SingleJet80_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
282,L1_SingleJet8_Centrality_30_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
283,L1_SingleJet16_Centrality_30_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
284,L1_SingleJet24_Centrality_30_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
285,L1_SingleJet28_Centrality_30_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
286,L1_SingleJet32_Centrality_30_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
287,L1_SingleJet36_Centrality_30_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
288,L1_SingleJet40_Centrality_30_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
289,L1_SingleJet44_Centrality_30_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
290,L1_SingleJet48_Centrality_30_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
291,L1_SingleJet56_Centrality_30_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
292,L1_SingleJet60_Centrality_30_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
293,L1_SingleJet64_Centrality_30_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
295,L1_SingleJet8_Centrality_50_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
296,L1_SingleJet16_Centrality_50_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
297,L1_SingleJet24_Centrality_50_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
298,L1_SingleJet28_Centrality_50_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
299,L1_SingleJet32_Centrality_50_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
300,L1_SingleJet36_Centrality_50_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
301,L1_SingleJet40_Centrality_50_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
302,L1_SingleJet44_Centrality_50_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
