Index,Name,Emergency,HLTPhysics+ZeroBias,2p3E34,2p2E34,2p1E34,2p0E34,2p0E34+ZeroBias+HLTPhysics,1p9E34,1p8E34,1p7E34,1p6E34,1p5E34,1p4E34,1p3E34,1p2E34,1p1E34,1p0E34,0p9E34,0p8E34,0p7E34,0p6E34,OnlyMuons
53,L1_DoubleMu_15_7_Mass_Min1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,L1_DoubleMu18er2p1_SQ,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,L1_DoubleMu0_Upt5_Upt5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,L1_DoubleMu0_Upt6_IP_Min1_Upt4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,L1_DoubleMu0_Upt15_Upt7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,L1_DoubleMu0er2p0_SQ_dEta_Max1p6,0,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
61,L1_DoubleMu0er2p0_SQ_dEta_Max1p5,0,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
62,L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p6,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
63,L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p5,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
64,L1_DoubleMu0er1p5_SQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,L1_DoubleMu0er1p5_SQ_OS,0,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450
66,L1_DoubleMu0er1p5_SQ_dR_Max1p4,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
67,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,L1_DoubleMu0er1p5_SQ_OS_dEta_Max1p2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,L1_DoubleMu0er1p4_SQ_OS_dEta_Max1p2,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
71,L1_DoubleMu0er1p4_OQ_OS_dEta_Max1p6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,L1_DoubleMu3er2p0_SQ_OS_dR_Max1p6,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,L1_DoubleMu4_SQ_OS,0,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
74,L1_DoubleMu4_SQ_OS_dR_Max1p2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,L1_DoubleMu4er2p0_SQ_OS_dR_Max1p6,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,L1_DoubleMu4p5_SQ_OS,0,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800
77,L1_DoubleMu4p5_SQ_OS_dR_Max1p2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,L1_DoubleMu4p5er2p0_SQ_OS,0,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
79,L1_DoubleMu4p5er2p0_SQ_OS_Mass_Min7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,L1_DoubleMu4p5er2p0_SQ_OS_Mass_7to18,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,L1_DoubleMu5_SQ_OS_dR_Max1p6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,L1_TripleMu0_OQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,L1_TripleMu0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,L1_TripleMu0_SQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,L1_TripleMu3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,L1_TripleMu3_SQ,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,L1_TripleMu_3SQ_2p5SQ_0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
88,L1_TripleMu_3SQ_2p5SQ_0_Mass_Max12,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
89,L1_TripleMu_5SQ_3SQ_0OQ,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
90,L1_TripleMu_5_3p5_2p5,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
91,L1_TripleMu_5_3_3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92,L1_TripleMu_5_3_3_SQ,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
93,L1_TripleMu_5_5_3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,L1_TripleMu_3SQ_2p5SQ_0_OS_Mass_Max12,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,L1_TripleMu_4SQ_2p5SQ_0_OS_Mass_Max12,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,L1_TripleMu_5_3p5_2p5_DoubleMu_5_2p5_OS_Mass_5to17,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
98,L1_TripleMu_5_4_2p5_DoubleMu_5_2p5_OS_Mass_5to17,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,L1_QuadMu0_OQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,L1_QuadMu0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,L1_QuadMu0_SQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,L1_SingleMuShower_Nominal,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,L1_SingleMuShower_Tight,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106,L1_TwoMuShower_Loose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,L1_Mu5_EG23er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,L1_Mu7_EG20er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,L1_Mu7_EG23er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110,L1_Mu20_EG10er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,L1_Mu5_LooseIsoEG20er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,L1_Mu7_LooseIsoEG20er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113,L1_Mu7_LooseIsoEG23er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
114,L1_Mu6_DoubleEG10er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,L1_Mu6_DoubleEG12er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116,L1_Mu6_DoubleEG15er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
117,L1_Mu6_DoubleEG17er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119,L1_DoubleMu4_SQ_EG9er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,L1_DoubleMu5_SQ_EG9er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
122,L1_DoubleMu3_OS_er2p3_Mass_Max14_DoubleEG7p5_er2p1_Mass_Max20,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
123,L1_DoubleMu5_OS_er2p3_Mass_8to14_DoubleEG3er2p1_Mass_Max20,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,L1_Mu3_Jet30er2p5,0,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
125,L1_Mu3_Jet16er2p5_dR_Max0p4,0,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
126,L1_DoubleJet16er2p5_Mu3_dR_Max0p4,0,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
127,L1_DoubleJet35er2p5_Mu3_dR_Max0p4,0,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256
128,L1_Mu3_Jet60er2p5_dR_Max0p4,0,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
129,L1_DoubleJet60er2p5_Mu3_dR_Max0p4,0,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
130,L1_DoubleJet80er2p5_Mu3_dR_Max0p4,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
131,L1_DoubleJet120er2p5_Mu3_dR_Max0p8,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
132,L1_Mu3_Jet120er2p5_dR_Max0p4,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
133,L1_Mu3er1p5_Jet100er2p5_ETMHF30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,L1_Mu3er1p5_Jet100er2p5_ETMHF40,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
135,L1_Mu3er1p5_Jet100er2p5_ETMHF50,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
137,L1_Mu6_HTT240er,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
138,L1_Mu6_HTT250er,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
140,L1_Mu10er2p3_Jet32er2p3_dR_Max0p4_DoubleJet32er2p3_dEta_Max1p6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,L1_Mu12er2p3_Jet40er2p3_dR_Max0p4_DoubleJet40er2p3_dEta_Max1p6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
142,L1_Mu12er2p3_Jet40er2p1_dR_Max0p4_DoubleJet40er2p1_dEta_Max1p6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
144,L1_DoubleMu0_dR_Max1p6_Jet90er2p5_dR_Max0p8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
145,L1_DoubleMu3_dR_Max1p6_Jet90er2p5_dR_Max0p8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
147,L1_DoubleMu3_SQ_ETMHF30_HTT60er,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,L1_DoubleMu3_SQ_ETMHF40_HTT60er,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
149,L1_DoubleMu3_SQ_ETMHF50_HTT60er,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
150,L1_DoubleMu3_SQ_ETMHF30_Jet60er2p5_OR_DoubleJet40er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,L1_DoubleMu3_SQ_ETMHF40_Jet60er2p5_OR_DoubleJet40er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
152,L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5_OR_DoubleJet40er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
153,L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
154,L1_DoubleMu3_SQ_ETMHF60_Jet60er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
156,L1_DoubleMu3_SQ_HTT220er,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
157,L1_DoubleMu3_SQ_HTT240er,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
158,L1_DoubleMu3_SQ_HTT260er,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
159,L1_SingleEG8er2p5,0,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000
160,L1_SingleEG10er2p5,0,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,9000
161,L1_SingleEG15er2p5,0,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,775,775,775,775,775,775,775,775,775,775,1550
162,L1_SingleEG26er2p5,0,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780
163,L1_SingleEG28_FWD2p5,0,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
164,L1_SingleEG28er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,L1_SingleEG28er2p1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,L1_SingleEG28er1p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,L1_SingleEG34er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,L1_SingleEG36er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
169,L1_SingleEG38er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
170,L1_SingleEG40er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
171,L1_SingleEG42er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
172,L1_SingleEG45er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
173,L1_SingleEG50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,L1_SingleEG60,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175,L1_SingleLooseIsoEG26er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,L1_SingleLooseIsoEG26er1p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,L1_SingleLooseIsoEG28_FWD2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,L1_SingleLooseIsoEG28er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,L1_SingleLooseIsoEG28er2p1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,L1_SingleLooseIsoEG28er1p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,L1_SingleLooseIsoEG30er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,L1_SingleLooseIsoEG30er1p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,L1_SingleIsoEG24er2p1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,L1_SingleIsoEG26er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,L1_SingleIsoEG26er2p1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,L1_SingleIsoEG28_FWD2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,L1_SingleIsoEG28er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,L1_SingleIsoEG28er2p1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,L1_SingleIsoEG28er1p5,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
192,L1_SingleIsoEG30er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
193,L1_SingleIsoEG30er2p1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
194,L1_SingleIsoEG32er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
195,L1_SingleIsoEG32er2p1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
196,L1_SingleIsoEG34er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
197,L1_IsoEG32er2p5_Mt40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,L1_DoubleEG4_er1p2_dR_Max0p9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,L1_DoubleEG4p5_er1p2_dR_Max0p9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
202,L1_DoubleEG5_er1p2_dR_Max0p9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
203,L1_DoubleEG5p5_er1p2_dR_Max0p8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
204,L1_DoubleEG6_er1p2_dR_Max0p8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
205,L1_DoubleEG6p5_er1p2_dR_Max0p8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
206,L1_DoubleEG7_er1p2_dR_Max0p8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
207,L1_DoubleEG7p5_er1p2_dR_Max0p7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
208,L1_DoubleEG8_er1p2_dR_Max0p7,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
209,L1_DoubleEG8p5_er1p2_dR_Max0p7,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
210,L1_DoubleEG9_er1p2_dR_Max0p7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
211,L1_DoubleEG9p5_er1p2_dR_Max0p6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
212,L1_DoubleEG10_er1p2_dR_Max0p6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
213,L1_DoubleEG10p5_er1p2_dR_Max0p6,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
214,L1_DoubleEG11_er1p2_dR_Max0p6,0,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
215,L1_DoubleEG_15_10_er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,L1_DoubleEG_20_10_er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,L1_DoubleEG_22_10_er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
